,date,기온,풍향,풍속,강수량,습도,PM2.5
0,0000010100,0.1737756714060031,0.0113888888888888,0.0255754475703324,0.0,0.741,0.044
1,0000010101,0.1737756714060031,0.943888888888889,0.0230179028132992,0.0,0.7370000000000001,0.064
2,0000010102,0.1658767772511848,0.0,0.0,0.0,0.7789999999999999,0.06
3,0000010103,0.1484992101105845,0.0,0.0076726342710997,0.0,0.8,0.072
4,0000010104,0.1263823064770932,0.9638888888888888,0.0306905370843989,0.0,0.853,0.08
5,0000010105,0.1042654028436018,0.937777777777778,0.0179028132992327,0.0,0.8470000000000001,0.068
6,0000010106,0.0932069510268562,0.9047222222222222,0.0153452685421994,0.0,0.8450000000000001,0.076
7,0000010107,0.1184834123222748,0.0,0.0025575447570332,0.0,0.8320000000000001,0.12
8,0000010108,0.1706161137440758,0.0,0.0025575447570332,0.0,0.7320000000000001,0.18
9,0000010109,0.2116903633491311,0.0,0.0051150895140664,0.0,0.604,0.172
10,0000010110,0.2227488151658767,0.2458333333333333,0.0306905370843989,0.0,0.5650000000000001,0.108
11,0000010111,0.2417061611374407,0.2838888888888889,0.0179028132992327,0.0,0.538,0.076
12,0000010112,0.2543443917851501,0.3044444444444444,0.0358056265984654,0.0,0.508,0.064
13,0000010113,0.2717219589257504,0.3288888888888889,0.0332480818414322,0.0,0.472,0.06
14,0000010114,0.2812006319115324,0.2188888888888888,0.0179028132992327,0.0,0.444,0.072
15,0000010115,0.2717219589257504,0.265,0.0281329923273657,0.0,0.476,0.06
16,0000010116,0.2369668246445497,0.0,0.0102301790281329,0.0,0.64,0.04
17,0000010117,0.2037914691943128,0.0,0.0051150895140664,0.0,0.704,0.044
18,0000010118,0.2148499210110584,0.0,0.0102301790281329,0.0,0.724,0.076
19,0000010119,0.2274881516587678,0.9411111111111112,0.0204603580562659,0.0,0.745,0.096
20,0000010120,0.2385466034755134,0.0,0.0,0.0,0.7100000000000001,0.104
21,0000010121,0.2464454976303317,0.0,0.0,0.0,0.7220000000000001,0.096
22,0000010122,0.2480252764612954,0.0,0.0,0.0,0.735,0.096
23,0000010123,0.2527646129541864,0.0,0.0,0.0,0.765,0.084
24,0000010200,0.2559241706161137,0.0,0.0,0.0,0.78,0.096
25,0000010201,0.2559241706161137,0.0,0.0,0.0,0.8270000000000001,0.112
26,0000010202,0.2527646129541864,0.0,0.0,0.0,0.856,0.104
27,0000010203,0.2543443917851501,0.0,0.0,0.0,0.883,0.092
28,0000010204,0.2590837282780411,0.0,0.0,0.0,0.895,0.1
29,0000010205,0.2606635071090047,0.0,0.0,0.0,0.911,0.088
