,기온,풍향,풍속,강수량,습도
0,0.2859399684044234,0.1405555555555555,0.0434782608695652,0.0,0.6789999999999999
1,0.2890995260663507,0.1144444444444444,0.0409207161125319,0.0,0.693
2,0.3001579778830964,0.2222222222222222,0.0230179028132992,0.0,0.6970000000000001
3,0.2938388625592417,0.1288888888888889,0.0409207161125319,0.0,0.696
4,0.2906793048973144,0.1922222222222222,0.0306905370843989,0.0,0.708
5,0.2906793048973144,0.1283333333333333,0.0255754475703324,0.0,0.713
6,0.2906793048973144,0.1919444444444444,0.0332480818414322,0.0,0.724
7,0.311216429699842,0.1083333333333333,0.0409207161125319,0.0,0.657
8,0.325434439178515,0.0016666666666666,0.0588235294117647,0.0,0.62
9,0.334913112164297,0.8986111111111111,0.0818414322250639,0.0,0.61
10,0.3428120063191153,0.8816666666666666,0.0741687979539642,0.0,0.554
11,0.3475513428120063,0.8319444444444445,0.0869565217391304,0.0,0.476
12,0.344391785150079,0.8213888888888888,0.1023017902813299,0.0,0.506
13,0.3412322274881517,0.8336111111111112,0.1176470588235294,0.0,0.489
14,0.339652448657188,0.8763888888888889,0.0869565217391304,0.0,0.505
15,0.3317535545023697,0.9266666666666667,0.0613810741687979,0.0,0.518
16,0.320695102685624,0.2008333333333333,0.0255754475703324,0.0,0.53
17,0.3143759873617693,0.0,0.0076726342710997,0.0,0.578
18,0.3001579778830964,0.0,0.0051150895140664,0.0,0.622
19,0.292259083728278,0.0,0.0102301790281329,0.0,0.658
20,0.2890995260663507,0.0,0.0076726342710997,0.0,0.6839999999999999
21,0.2906793048973144,0.0,0.0076726342710997,0.0,0.67
22,0.2985781990521327,0.0,0.0025575447570332,0.0,0.6659999999999999
23,0.2938388625592417,0.0,0.0025575447570332,0.0,0.696
24,0.296998420221169,0.0,0.0051150895140664,0.0,0.7020000000000001
25,0.3048973143759874,0.0,0.0076726342710997,0.0,0.689
26,0.30173775671406,0.28,0.0460358056265984,0.0,0.738
27,0.2985781990521327,0.2136111111111111,0.0281329923273657,0.0,0.89
28,0.2954186413902054,0.2452777777777778,0.0127877237851662,0.0113636363636363,0.8989999999999999
29,0.3080568720379147,0.8944444444444445,0.0613810741687979,0.0056818181818181,0.876
30,0.292259083728278,0.7869444444444446,0.0409207161125319,0.0,0.7200000000000001
31,0.306477093206951,0.9,0.0639386189258312,0.0,0.623
