,date,기온,풍향,풍속,강수량,습도,PM2.5
0,0000010100,0.1911532385466034,0.0830555555555555,0.0767263427109974,0.0,0.501,0.10448860796707338
1,0000010101,0.1848341232227488,0.0866666666666666,0.0485933503836317,0.0,0.547,0.10448860796707338
2,0000010102,0.1816745655608214,0.0872222222222222,0.0255754475703324,0.0,0.5700000000000001,0.10448860796707338
3,0000010103,0.1737756714060031,0.4247222222222223,0.0281329923273657,0.0,0.627,0.10448860796707338
4,0000010104,0.1706161137440758,0.0,0.0102301790281329,0.0,0.689,0.10448860796707338
5,0000010105,0.1706161137440758,0.3319444444444444,0.0383631713554987,0.0,0.7100000000000001,0.10448860796707338
6,0000010106,0.1769352290679305,0.3202777777777778,0.0127877237851662,0.0,0.7170000000000001,0.10448860796707338
7,0000010107,0.1879936808846761,0.1463888888888889,0.0255754475703324,0.0,0.6970000000000001,0.10448860796707338
8,0000010108,0.1974723538704581,0.0683333333333333,0.0179028132992327,0.0,0.635,0.10448860796707338
9,0000010109,0.2211690363349131,0.9733333333333332,0.0127877237851662,0.0,0.5650000000000001,0.10448860796707338
10,0000010110,0.2227488151658767,0.9883333333333334,0.0383631713554987,0.0,0.547,0.10448860796707338
11,0000010111,0.2369668246445497,0.0338888888888888,0.0358056265984654,0.0,0.5609999999999999,0.10448860796707338
12,0000010112,0.2638230647709321,0.7669444444444445,0.0230179028132992,0.0,0.533,0.10448860796707338
13,0000010113,0.278041074249605,0.638888888888889,0.0332480818414322,0.0,0.517,0.10448860796707338
14,0000010114,0.273301737756714,0.5425000000000001,0.0306905370843989,0.0,0.504,0.10448860796707338
15,0000010115,0.2764612954186414,0.5805555555555556,0.0306905370843989,0.0,0.476,0.10448860796707338
16,0000010116,0.2353870458135861,0.5469444444444445,0.0204603580562659,0.0,0.596,0.10448860796707338
17,0000010117,0.2559241706161137,0.4591666666666667,0.0179028132992327,0.0,0.537,0.10448860796707338
18,0000010118,0.2543443917851501,0.5186111111111111,0.0358056265984654,0.0,0.611,0.10448860796707338
19,0000010119,0.2654028436018957,0.5694444444444444,0.0383631713554987,0.0,0.548,0.10448860796707338
20,0000010120,0.2685624012638231,0.3752777777777777,0.0383631713554987,0.0,0.5359999999999999,0.10448860796707338
21,0000010121,0.278041074249605,0.3505555555555555,0.0434782608695652,0.0,0.475,0.10448860796707338
22,0000010122,0.2796208530805687,0.3255555555555556,0.0613810741687979,0.0,0.475,0.156
23,0000010123,0.278041074249605,0.2997222222222222,0.0460358056265984,0.0,0.5700000000000001,0.156
24,0000010200,0.2701421800947867,0.3255555555555556,0.0511508951406649,0.0,0.665,0.156
25,0000010201,0.2669826224328594,0.3608333333333333,0.0588235294117647,0.0,0.689,0.10448860796707338
26,0000010202,0.2685624012638231,0.3294444444444444,0.0409207161125319,0.0,0.704,0.10448860796707338
27,0000010203,0.2717219589257504,0.3444444444444444,0.0434782608695652,0.0,0.713,0.10448860796707338
28,0000010204,0.273301737756714,0.3183333333333333,0.0383631713554987,0.0,0.719,0.10448860796707338
29,0000010205,0.2748815165876777,0.3036111111111111,0.0434782608695652,0.0,0.735,0.10448860796707338
